date,country_code,country,sector,pay_transparency_pct,pay_transparency_pct_3ma
2020-02-01,US,United States,Security & Public Safety,30.017536659079884,NA
2020-02-01,US,United States,Social Science,21.410775459358454,NA
2020-02-01,US,United States,Software Development,6.316411541457686,NA
2020-02-01,US,United States,Therapy,16.90098949796637,NA
2020-03-01,US,United States,Accounting,13.20134090873322,13.73811906187189
2020-03-01,US,United States,Administrative Assistance,22.250401719164426,22.023786166792945
2020-03-01,US,United States,Architecture,14.788732394366196,14.484536810403867
2020-03-01,US,United States,Arts & Entertainment,16.557047909166435,14.643697847377775
2020-03-01,US,United States,Aviation,12.442396313364055,14.595425688318905
2020-03-01,US,United States,Banking & Finance,7.477736418037035,6.879215969557205
2020-03-01,US,United States,Childcare,44.899595466307076,43.42559785092748
2020-03-01,US,United States,Civil Engineering,11.82573685025551,11.755792639694926
2020-03-01,US,United States,Cleaning & Sanitation,28.448028984155947,27.32431507628721
2020-03-01,US,United States,Community & Social Service,25.779472453671016,25.230767328259887
2020-03-01,US,United States,Construction,36.016919960869146,33.98016486258114
2020-03-01,US,United States,Customer Service,14.017585825515983,14.592896813484154
2020-03-01,US,United States,Data & Analytics,5.463906111603189,5.196400067030145
2020-03-01,US,United States,Dental,28.991111804147824,27.476059089257916
2020-03-01,US,United States,Driving,27.221444661127673,26.85910685338945
2020-03-01,US,United States,Education & Instruction,20.675598779163,21.316161812973963
2020-03-01,US,United States,Electrical Engineering,8.029162746942616,8.021047042329513
2020-03-01,US,United States,Food Preparation & Service,11.535590774512974,11.212519086740663
2020-03-01,US,United States,Hospitality & Tourism,16.540528048991852,15.219036449075247
2020-03-01,US,United States,Human Resources,13.491333142245084,13.21666043944299
2020-03-01,US,United States,"IT Infrastructure, Operations & Support",11.153870220887303,11.885401034252888
2020-03-01,US,United States,IT Systems & Solutions,5.6966702328300265,6.312528431410949
2020-03-01,US,United States,Industrial Engineering,4.6465912036637,4.377606542007751
2020-03-01,US,United States,Installation & Maintenance,23.88852193058694,21.840160420510614
2020-03-01,US,United States,Insurance,23.172538392050587,21.706032291008032
2020-03-01,US,United States,Legal,16.873844136994638,16.725057240479472
2020-03-01,US,United States,Loading & Stocking,21.1502336556702,20.19550479478564
2020-03-01,US,United States,Logistic Support,13.956986012934275,13.882803101788932
2020-03-01,US,United States,Management,7.44141743563058,7.334463713946704
2020-03-01,US,United States,Marketing,14.618037361539304,14.660506360679292
2020-03-01,US,United States,Mechanical Engineering,7.824776665590356,7.6732995887942
2020-03-01,US,United States,Media & Communications,17.916209229025746,18.098592258146187
2020-03-01,US,United States,Medical Information,11.223031760628139,10.805068784458301
2020-03-01,US,United States,Medical Technician,8.767080443446984,8.3654479530787
2020-03-01,US,United States,Nursing,10.112254716155931,9.385395514208485
2020-03-01,US,United States,Personal Care & Home Health,23.86015884545314,23.35045128133252
2020-03-01,US,United States,Pharmacy,6.942638347059674,6.48923531417791
2020-03-01,US,United States,Physicians & Surgeons,7.445397471040764,7.386215795439288
2020-03-01,US,United States,Production & Manufacturing,21.852413511763817,20.275739966752
2020-03-01,US,United States,Project Management,9.092088197146563,9.246435345497543
2020-03-01,US,United States,Retail,7.879005371795563,7.574227583527488
2020-03-01,US,United States,Sales,13.885153907167913,13.905715733512345
2020-03-01,US,United States,Scientific Research & Development,5.8908724024019135,5.735151176193308
2020-03-01,US,United States,Security & Public Safety,31.211686122729258,29.878627424705936
2020-03-01,US,United States,Social Science,18.589936727930098,19.821823413085607
2020-03-01,US,United States,Software Development,6.533283019455132,6.190276053867443
2020-03-01,US,United States,Therapy,16.718161789516166,16.597991748095545
2020-04-01,US,United States,Accounting,13.841413936504718,13.737660233922869
2020-04-01,US,United States,Administrative Assistance,19.33886877263079,21.362679089297597
2020-04-01,US,United States,Architecture,13.430227210008278,14.45252954097168
2020-04-01,US,United States,Arts & Entertainment,12.858098316798571,14.681520091102295
2020-04-01,US,United States,Aviation,12.133605998636673,12.710145447427303
2020-04-01,US,United States,Banking & Finance,7.020248020738457,7.216995327053514
2020-04-01,US,United States,Childcare,37.17817387147442,42.29777523410012
2020-04-01,US,United States,Civil Engineering,11.082220660576247,11.6689861548983
2020-04-01,US,United States,Cleaning & Sanitation,26.877193655421085,27.79676540388654
2020-04-01,US,United States,Community & Social Service,24.53893578175853,25.211340951123248
2020-04-01,US,United States,Construction,37.84338985411371,36.03737694491797
2020-04-01,US,United States,Customer Service,11.842903120481365,13.779775341737695
2020-04-01,US,United States,Data & Analytics,5.462892119357307,5.414627815135816
2020-04-01,US,United States,Dental,29.112672962881614,28.762748551659566
2020-04-01,US,United States,Driving,23.72769017294735,26.09676433065521
2020-04-01,US,United States,Education & Instruction,15.977750781620962,19.603724855620847
2020-04-01,US,United States,Electrical Engineering,8.226174738613148,8.253201753501086
2020-04-01,US,United States,Food Preparation & Service,9.180905852615016,10.892337762151916
2020-04-01,US,United States,Hospitality & Tourism,17.083851115450617,16.461313047829695
2020-04-01,US,United States,Human Resources,11.604863375546625,12.373370495596943
2020-04-01,US,United States,"IT Infrastructure, Operations & Support",10.491878193677039,11.316091139798132
2020-04-01,US,United States,IT Systems & Solutions,6.302349798524019,5.895944257759766
2020-04-01,US,United States,Industrial Engineering,4.9175801419223015,4.680708570304553
2020-04-01,US,United States,Installation & Maintenance,24.470806420668925,23.441724890889564
2020-04-01,US,United States,Insurance,26.72824645015477,23.930311944215745
2020-04-01,US,United States,Legal,16.290726817042607,16.742080638835535
2020-04-01,US,United States,Loading & Stocking,20.101615770343052,20.344422745386286
2020-04-01,US,United States,Logistic Support,14.591230551626591,14.229261383710481
2020-04-01,US,United States,Management,6.520051600903015,7.199962708810408
2020-04-01,US,United States,Marketing,13.383904089025881,14.418310241449168
2020-04-01,US,United States,Mechanical Engineering,8.263295430468254,8.037251744010826
2020-04-01,US,United States,Media & Communications,17.44627054361568,18.242201815147173
2020-04-01,US,United States,Medical Information,10.366665887686663,10.805497426337732
2020-04-01,US,United States,Medical Technician,8.585849754914818,8.646991681725055
2020-04-01,US,United States,Nursing,11.110205449366715,10.278056711693262
2020-04-01,US,United States,Personal Care & Home Health,23.463065092943133,23.689837430691643
2020-04-01,US,United States,Pharmacy,7.205639718014099,6.8555040556012825
2020-04-01,US,United States,Physicians & Surgeons,6.985713923215508,7.409711621844946
2020-04-01,US,United States,Production & Manufacturing,21.54227466312923,21.19680691977221
2020-04-01,US,United States,Project Management,8.638670823064745,9.129164534564968
2020-04-01,US,United States,Retail,6.5414424917390175,7.398787093983003
2020-04-01,US,United States,Sales,12.875640569338973,13.726409054405764
2020-04-01,US,United States,Scientific Research & Development,5.121460313664534,5.640018788155921
2020-04-01,US,United States,Security & Public Safety,28.509903938667357,29.913042240158834
2020-04-01,US,United States,Social Science,17.426463155766704,19.14239178101842
2020-04-01,US,United States,Software Development,6.801877470355731,6.550524010422849
2020-04-01,US,United States,Therapy,15.34041914137059,16.319856809617708
2020-05-01,US,United States,Accounting,19.681385187396533,15.574713344211494
2020-05-01,US,United States,Administrative Assistance,27.920898048586217,23.170056180127148
2020-05-01,US,United States,Architecture,18.720581942661532,15.646513849012
2020-05-01,US,United States,Arts & Entertainment,16.529709228824274,15.314951818263097
2020-05-01,US,United States,Aviation,13.315481986368063,12.630494766122931
2020-05-01,US,United States,Banking & Finance,10.160241834086836,8.219408757620776
2020-05-01,US,United States,Childcare,43.52799090650753,41.86858674809634
2020-05-01,US,United States,Civil Engineering,13.320840165534472,12.076265892122075
2020-05-01,US,United States,Cleaning & Sanitation,32.17793922030083,29.167720619959283
2020-05-01,US,United States,Community & Social Service,27.2239584786673,25.847455571365614
2020-05-01,US,United States,Construction,44.497822475643154,39.452710763541994
2020-05-01,US,United States,Customer Service,17.2589367848082,14.373141910268517
2020-05-01,US,United States,Data & Analytics,6.347019380913016,5.7579392039578385
2020-05-01,US,United States,Dental,44.288584474885845,34.130789747305094
2020-05-01,US,United States,Driving,29.922061841257797,26.957065558444274
