date,country_code,country,pay_transparency_pct,pay_transparency_pct_3ma
2020-01-01,AU,Australia,17.93656964219188,NA
2020-01-01,CA,Canada,18.058014873957696,NA
2020-01-01,DE,Germany,3.3269438782229135,NA
2020-01-01,FR,France,19.944472099333243,NA
2020-01-01,GB,United Kingdom,40.080400960634854,NA
2020-01-01,IE,Ireland,14.940689374888871,NA
2020-01-01,JP,Japan,92.53023005775731,NA
2020-01-01,US,United States,13.627185631192082,NA
2020-02-01,AU,Australia,18.824211485321467,NA
2020-02-01,CA,Canada,17.969867547108535,NA
2020-02-01,DE,Germany,3.336358614158314,NA
2020-02-01,FR,France,19.93720289778807,NA
2020-02-01,GB,United Kingdom,40.3694637367642,NA
2020-02-01,IE,Ireland,14.906100343504752,NA
2020-02-01,JP,Japan,92.74658047557233,NA
2020-02-01,US,United States,14.790267597925272,NA
2020-03-01,AU,Australia,18.966152197930967,18.57564444181477
2020-03-01,CA,Canada,17.78422768358906,17.937370034885095
2020-03-01,DE,Germany,3.5521960942071384,3.405166195529455
2020-03-01,FR,France,19.16923924284413,19.68363807998848
2020-03-01,GB,United Kingdom,40.166076789928674,40.20531382910924
2020-03-01,IE,Ireland,14.10778514312892,14.651524953840848
2020-03-01,JP,Japan,93.38261321681223,92.88647458338062
2020-03-01,US,United States,14.765583272378338,14.394345500498565
2020-04-01,AU,Australia,20.198553351189236,19.329639011480555
2020-04-01,CA,Canada,18.090258986586065,17.948118072427885
2020-04-01,DE,Germany,3.14807666138076,3.345543789915404
2020-04-01,FR,France,16.98345305961508,18.696631733415757
2020-04-01,GB,United Kingdom,43.2680907783507,41.26787710168119
2020-04-01,IE,Ireland,12.29921009383449,13.771031860156056
2020-04-01,JP,Japan,93.13643052983895,93.08854140740783
2020-04-01,US,United States,13.624267239739627,14.393372703347744
2020-05-01,AU,Australia,22.610217260015176,20.591640936378457
2020-05-01,CA,Canada,22.292698889083535,19.38906185308622
2020-05-01,DE,Germany,3.4434105305719034,3.381227762053267
2020-05-01,FR,France,19.02229892614508,18.391663742868094
2020-05-01,GB,United Kingdom,47.16873965904694,43.53430240910876
2020-05-01,IE,Ireland,16.587254318046458,14.331416518336622
2020-05-01,JP,Japan,92.41618185024379,92.97840853229832
2020-05-01,US,United States,17.479757521938343,15.289869344685435
2020-06-01,AU,Australia,22.450863352737745,21.75321132131405
2020-06-01,CA,Canada,25.325850680796417,21.90293618548867
2020-06-01,DE,Germany,3.876916163802967,3.4894677852518767
2020-06-01,FR,France,21.645942134135975,19.217231373298713
2020-06-01,GB,United Kingdom,49.93749662265613,46.79144235335124
2020-06-01,IE,Ireland,17.748893805309734,15.545119405730226
2020-06-01,JP,Japan,92.79351860714932,92.78204366241069
2020-06-01,US,United States,18.86420915188956,16.656077971189177
2020-07-01,AU,Australia,22.13379703218511,22.39829254831268
2020-07-01,CA,Canada,26.577142742227405,24.731897437369117
2020-07-01,DE,Germany,4.158408195835157,3.8262449634033424
2020-07-01,FR,France,23.770959149044867,21.47973340310864
2020-07-01,GB,United Kingdom,50.570338746649526,49.22552500945085
2020-07-01,IE,Ireland,17.600649204273928,17.312265775876707
2020-07-01,JP,Japan,92.80965549860521,92.67311865199945
2020-07-01,US,United States,19.65963054301577,18.667865738947892
2020-08-01,AU,Australia,22.243715671731547,22.276125352218134
2020-08-01,CA,Canada,28.669300714696615,26.857431379240143
2020-08-01,DE,Germany,4.2799622793596885,4.105095546332604
2020-08-01,FR,France,25.922358779010978,23.77975335406394
2020-08-01,GB,United Kingdom,50.68851274339716,50.39878270423426
2020-08-01,IE,Ireland,19.507614420446657,18.28571914334344
2020-08-01,JP,Japan,94.012624893281,93.20526633301183
2020-08-01,US,United States,20.982706565229513,19.835515420044946
2020-09-01,AU,Australia,22.756904112836317,22.378138938917658
2020-09-01,CA,Canada,29.603186921206476,28.283210126043496
2020-09-01,DE,Germany,4.599298582463054,4.345889685885967
2020-09-01,FR,France,28.42048307505844,26.03793366770476
2020-09-01,GB,United Kingdom,51.14741373062023,50.80208840688895
2020-09-01,IE,Ireland,20.508456916611674,19.20557351377742
2020-09-01,JP,Japan,94.43301335772976,93.75176458320531
2020-09-01,US,United States,21.636832951935197,20.759723353393493
2020-10-01,AU,Australia,24.600949667616334,23.200523150728063
2020-10-01,CA,Canada,29.096403931863975,29.12296385592235
2020-10-01,DE,Germany,4.532813352871898,4.470691404898214
2020-10-01,FR,France,29.36964073564143,27.904160863236942
2020-10-01,GB,United Kingdom,51.718313215077416,51.18474656303158
2020-10-01,IE,Ireland,19.86823972303452,19.96143702003095
2020-10-01,JP,Japan,94.32264034091487,94.2560928639752
2020-10-01,US,United States,22.29426818660841,21.63793590125771
2020-11-01,AU,Australia,26.419575494669335,24.59247642504066
2020-11-01,CA,Canada,28.60753047110381,29.10237377472475
2020-11-01,DE,Germany,4.57265529387094,4.568255743068631
2020-11-01,FR,France,27.440897676628285,28.410340495776044
2020-11-01,GB,United Kingdom,52.11787731364983,51.66120141978248
2020-11-01,IE,Ireland,21.44122054216047,20.605972393935556
2020-11-01,JP,Japan,94.26597821987502,94.34054397283988
2020-11-01,US,United States,20.902241396614997,21.611114178386202
2020-12-01,AU,Australia,25.709070485818593,25.57653188270142
2020-12-01,CA,Canada,27.567673854624108,28.423869419197292
2020-12-01,DE,Germany,4.104698498906605,4.4033890485498155
2020-12-01,FR,France,26.472006775327284,27.76084839586566
2020-12-01,GB,United Kingdom,50.38604309476664,51.40741120783128
2020-12-01,IE,Ireland,20.910162207126024,20.739874157440337
